444 2604 3398 2441 3722 444 1
445 2395 2735 3936 4095 445 1
446 2382 3056 3225 3662 446 1
447 3303 3935 3547 4123 447 1
448 398 437 3157 3534 448 1
449 2424 2750 3273 4137 449 1
450 315 2859 3323 3685 450 1
451 762 2646 596 3096 451 1
452 2687 2766 2421 3366 452 1
453 570 411 506 3945 453 1
454 2447 2717 3154 4179 454 1
455 1031 2795 1186 3483 455 1
456 2393 2682 3049 3919 456 1
457 2477 2821 2808 3279 457 1
458 3210 3446 2773 3541 458 1
459 2448 2911 3024 3903 459 1
460 2489 3034 2696 4131 460 1
461 2435 3835 2719 3874 461 1
462 1482 3165 3494 4184 462 1
463 2630 2344 2948 3020 463 1
464 2616 3247 2697 3902 464 1
465 38 2925 2638 3789 465 1
466 1127 1034 3178 3412 466 1
467 2725 3573 2838 4419 467 1
468 2570 3184 2947 3435 468 1
469 956 2884 2765 3769 469 1
470 2358 3372 3348 3598 470 1
471 2458 2668 2795 3029 471 1
472 2673 3029 2975 4018 472 1
473 3063 3358 2466 3984 473 1
474 2540 3484 3392 4158 474 1
475 1986 3028 2806 3692 475 1
476 2530 2906 2652 2910 476 1
477 2725 2838 3724 4419 477 1
478 2597 2522 3663 3953 478 1
479 2619 3010 2692 3975 479 1
480 2951 2972 2513 3403 480 1
481 1113 2821 2670 3113 481 1
482 2522 3037 2597 3227 482 1
483 2801 3365 2963 3813 483 1
484 2787 3181 2941 4039 484 1
485 3031 3336 2667 4268 485 1
486 2554 2714 3694 4297 486 1
487 2797 3011 2935 4316 487 1
488 2769 3180 2419 4344 488 1
489 2359 3281 2826 4047 489 1
490 2470 2695 3347 3962 490 1
491 2721 4010 3289 4155 491 1
492 2391 2883 2714 3130 492 1
493 2521 3196 3387 3600 493 1
494 2705 3681 3465 4182 494 1
495 2782 2958 2519 3190 495 1
496 2446 2602 3916 4209 496 1
497 751 2053 2880 4004 497 1
498 2589 2384 3539 3689 498 1
499 2365 2937 3120 3926 499 1
500 2759 2902 2464 4225 500 1
501 1442 3025 1273 3729 501 1
502 3029 3440 2673 3706 502 1
503 2595 2918 3914 4037 503 1
504 2384 3569 2891 3628 504 1
505 2369 2610 3218 4240 505 1
506 953 2763 2685 3299 506 1
507 3273 3976 3285 4009 507 1
508 2705 2932 2485 3681 508 1
509 2917 3047 2778 3224 509 1
510 2683 3162 3615 4161 510 1
511 3041 3408 2873 3963 511 1
512 2348 2647 3394 3816 512 1
513 2557 2891 3569 3628 513 1
514 2841 2411 3376 3964 514 1
515 2724 2996 2601 4085 515 1
516 2543 2926 2631 3174 516 1
517 2616 3147 2637 3902 517 1
518 976 44 3443 3947 518 1
519 1113 1207 1025 2670 519 1
520 2452 2770 3454 3675 520 1
521 2500 3142 2930 3773 521 1
522 797 3401 2639 3999 522 1
523 2637 3147 2753 4241 523 1
524 2664 3530 2725 3591 524 1
525 2581 2766 3128 3366 525 1
526 2704 2568 3751 4253 526 1
527 2689 3185 3946 3949 527 1
528 590 3333 3232 3835 528 1
529 3002 3373 2425 3896 529 1
530 2831 3547 3303 3935 530 1
531 1657 2858 2868 3277 531 1
532 2393 4052 2682 4247 532 1
533 2444 3236 3544 4050 533 1
534 2544 1592 3368 3456 534 1
535 3140 3589 2600 3896 535 1
536 2882 3050 2722 3620 536 1
537 2050 2800 36 3428 537 1
538 2584 3040 2857 4075 538 1
539 2788 2967 2541 4134 539 1
540 2362 3974 3089 4397 540 1
541 2492 2686 2860 3445 541 1
542 854 2720 40 3879 542 1
543 1227 3718 3392 4158 543 1
544 2607 2998 1384 3073 544 1
545 525 2869 3377 3763 545 1
546 2521 3764 3003 4080 546 1
547 2970 3786 2723 4144 547 1
548 2658 2882 578 3620 548 1
549 2644 2507 3265 3475 549 1
550 2586 3241 3398 4385 550 1
551 2725 3694 3591 4060 551 1
552 3043 3498 2558 4223 552 1
553 2513 2733 2871 3768 553 1
554 2745 3676 3052 3955 554 1
555 2614 3217 2760 3372 555 1
556 2555 2886 2833 3885 556 1
557 2540 2899 2703 3041 557 1
558 26 2637 539 3491 558 1
559 2726 2519 2958 3190 559 1
560 1780 3451 2651 3747 560 1
561 2841 2957 2411 3964 561 1
562 514 3527 2943 3679 562 1
563 40 3407 2986 3879 563 1
564 3019 3189 3468 4041 564 1
565 2021 3738 2974 4141 565 1
566 2746 3684 2995 4281 566 1
567 2507 3475 2644 3980 567 1
568 2691 2947 1988 3842 568 1
569 2578 2682 3127 3919 569 1
570 2861 3410 2915 3502 570 1
571 3184 3480 2665 3666 571 1
572 2785 2920 2482 3683 572 1
573 1730 2868 1591 3341 573 1
574 1482 3165 3269 3494 574 1
575 2958 3575 3190 3850 575 1
576 2435 3232 2719 3835 576 1
577 2520 3652 2784 3671 577 1
578 2817 3551 3546 4222 578 1
579 3047 3224 2917 4019 579 1
580 2892 2527 3257 3405 580 1
581 2400 2903 2725 3530 581 1
582 2583 3107 3308 4467 582 1
583 2755 3694 3433 3796 583 1
584 2369 3266 2610 4240 584 1
585 2349 2673 3292 4359 585 1
586 3134 4084 2796 4420 586 1
587 1048 2813 2670 3483 587 1
588 2496 2911 2640 3800 588 1
589 2361 2981 2823 4304 589 1
590 2807 2376 3077 3329 590 1
591 1657 3341 2868 4023 591 1
592 2492 3248 2686 3445 592 1
593 2639 3821 3376 3964 593 1
594 2426 2760 3372 3508 594 1
595 2967 3606 2541 4134 595 1
596 2391 2819 2863 3506 596 1
597 705 3946 3185 3949 597 1
598 457 3323 557 3392 598 1
599 2669 3552 1124 3566 599 1
600 1765 1784 2889 3765 600 1
601 443 3323 2540 3392 601 1
602 2436 3272 2712 3463 602 1
603 2479 4144 2970 4317 603 1
604 2689 3185 2805 3946 604 1
605 2808 2821 2477 3479 605 1
606 2751 2906 887 3898 606 1
607 2408 3304 2608 3396 607 1
608 1115 2815 1205 3088 608 1
609 2477 3279 2808 3479 609 1
610 2836 3349 1720 3877 610 1
611 2673 3454 2770 4359 611 1
612 2869 2909 2593 4444 612 1
613 2395 2956 2828 3297 613 1
614 2691 2408 2960 3162 614 1
615 2840 3360 2385 4268 615 1
616 2380 2858 3277 3664 616 1
617 2862 3307 3120 3360 617 1
618 2400 2725 2903 3573 618 1
619 2408 3176 2608 3304 619 1
620 2444 3809 3247 3928 620 1
